Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
METFORMIN,DIABETES,10198,6511,61.03,38.97,88.35,85.73,"['NCT00528879', 'NCT04653779', 'NCT00901979', 'NCT00097279', 'NCT00145379', 'NCT00611884', 'NCT03577184', 'NCT00086502', 'NCT01708902', 'NCT00463502', 'NCT00743002', 'NCT03824002', 'NCT01869621', 'NCT05939921', 'NCT01915264', 'NCT01726764', 'NCT02924064', 'NCT00131664', 'NCT00624364', 'NCT01396564', 'NCT00272064', 'NCT05326490', 'NCT03029390', 'NCT01720290', 'NCT00897390', 'NCT01106690', 'NCT02417090', 'NCT00577590', 'NCT02045290', 'NCT00868790', 'NCT03980990', 'NCT02827903', 'NCT02027103', 'NCT02844803', 'NCT00851903', 'NCT04317703', 'NCT02947503', 'NCT00657943', 'NCT00971243', 'NCT01486043', 'NCT00676338', 'NCT00918138', 'NCT02099838', 'NCT02571608', 'NCT03774108', 'NCT04907708', 'NCT04707508', 'NCT01503008', 'NCT01915550', 'NCT02273050', 'NCT03441750', 'NCT05108350', 'NCT01117350', 'NCT00118950', 'NCT02926950', 'NCT01111955', 'NCT00443755', 'NCT02532855', 'NCT00367055', 'NCT01438814', 'NCT02049814', 'NCT01342614', 'NCT06124495', 'NCT04065581', 'NCT03061981', 'NCT06120881', 'NCT01023581', 'NCT01368081', 'NCT00832481', 'NCT02099110', 'NCT02226510', 'NCT02026310', 'NCT00337610', 'NCT01517412', 'NCT02752412', 'NCT00348712', 'NCT01296412', 'NCT02040246', 'NCT01765946', 'NCT01762046', 'NCT00900146', 'NCT05413369', 'NCT06064669', 'NCT05918068', 'NCT01725672', 'NCT00588172', 'NCT05065372', 'NCT02605772', 'NCT01511172', 'NCT00328172', 'NCT04343872', 'NCT02836704', 'NCT02597101', 'NCT00929201', 'NCT01658501', 'NCT00121667', 'NCT04373967', 'NCT05343767', 'NCT03558867', 'NCT00913367', 'NCT03928340', 'NCT00219440', 'NCT01228240', 'NCT05779644', 'NCT00612144', 'NCT00783744', 'NCT00807092', 'NCT01876992', 'NCT02794792', 'NCT02954692', 'NCT00469092', 'NCT01089192', 'NCT02911792', 'NCT04943692', 'NCT02621489', 'NCT04626089', 'NCT05680129', 'NCT02586129', 'NCT00482729', 'NCT05416580', 'NCT04029480', 'NCT01874080', 'NCT01123980', 'NCT01001962', 'NCT04583462', 'NCT06450262', 'NCT02091362', 'NCT03196362', 'NCT00661362', 'NCT02565862', 'NCT01779362', 'NCT01353391', 'NCT00789191', 'NCT00353691', 'NCT05440591', 'NCT01028391', 'NCT02250794', 'NCT00922194', 'NCT03606694', 'NCT01755494', 'NCT04070794', 'NCT01093794', 'NCT02058160', 'NCT02951260', 'NCT00681460', 'NCT00960076', 'NCT01357876', 'NCT03267576', 'NCT00432276', 'NCT00038727', 'NCT05345327', 'NCT00839527', 'NCT01809327', 'NCT01033773', 'NCT01175473', 'NCT00712673', 'NCT06125873', 'NCT02393573', 'NCT01215331', 'NCT06446531', 'NCT01845831', 'NCT01648582', 'NCT00882882', 'NCT01842620', 'NCT02167620', 'NCT01563120', 'NCT00614120', 'NCT01678820', 'NCT01646320', 'NCT00734474', 'NCT01864174', 'NCT02050074', 'NCT02551874', 'NCT01519674', 'NCT00772174', 'NCT05822674', 'NCT01181674', 'NCT03068065', 'NCT02252965', 'NCT03222765', 'NCT01043965', 'NCT03555565', 'NCT03018665', 'NCT01095666', 'NCT00636766', 'NCT00479466', 'NCT01462266', 'NCT02087826', 'NCT03686657', 'NCT00961857', 'NCT01267448', 'NCT01154348', 'NCT00881530', 'NCT02853630', 'NCT02561130', 'NCT00698230', 'NCT00713830', 'NCT01525225', 'NCT01059825', 'NCT04284722', 'NCT04426422', 'NCT02443922', 'NCT03974139', 'NCT03627039', 'NCT02722239', 'NCT06339086', 'NCT00672386', 'NCT00978263', 'NCT03202563', 'NCT01963663', 'NCT00118963', 'NCT00789035', 'NCT01318135', 'NCT05591235', 'NCT00792935', 'NCT01357135', 'NCT01546558', 'NCT00316758', 'NCT02394158', 'NCT02429258', 'NCT06439758', 'NCT01871558', 'NCT05280496', 'NCT00382096', 'NCT02111096', 'NCT00087516', 'NCT03862716', 'NCT02020616', 'NCT02505516', 'NCT01521624', 'NCT00715624', 'NCT01972724', 'NCT03968224', 'NCT02192424', 'NCT03761134', 'NCT04218734', 'NCT01068717', 'NCT01107717', 'NCT02026817', 'NCT00819741', 'NCT03421119', 'NCT01289119', 'NCT02119819', 'NCT00942318', 'NCT03167918', 'NCT01429818', 'NCT01999218', 'NCT01998113', 'NCT06296836', 'NCT00871936', 'NCT03794336', 'NCT05572749', 'NCT03310749', 'NCT01234649', 'NCT02989649', 'NCT01804049', 'NCT02630706', 'NCT00371306', 'NCT01677299', 'NCT06246799', 'NCT00815399', 'NCT02407899', 'NCT01941199', 'NCT03204799', 'NCT06318442', 'NCT00174642', 'NCT05054842', 'NCT04356742', 'NCT01332370', 'NCT00437970', 'NCT05549570', 'NCT04209075', 'NCT00605475', 'NCT01779375', 'NCT00541775', 'NCT06083675', 'NCT01204775', 'NCT01476475', 'NCT01471275', 'NCT02932475', 'NCT01873859', 'NCT04120259', 'NCT01240759', 'NCT01195259', 'NCT01682759', 'NCT03169959', 'NCT01624259', 'NCT00971659', 'NCT00386100', 'NCT03030300', 'NCT00347100', 'NCT02597400', 'NCT01192152', 'NCT03189732', 'NCT01699932', 'NCT04998032', 'NCT00118937', 'NCT03359837', 'NCT00976937', 'NCT00763815', 'NCT06327815', 'NCT04549415', 'NCT04194515', 'NCT02526615', 'NCT00108615', 'NCT03718715', 'NCT01541215', 'NCT01871415', 'NCT00780715', 'NCT01771185', 'NCT01240785', 'NCT05760456', 'NCT01755156', 'NCT01171456', 'NCT03138356', 'NCT03398356', 'NCT01729156', 'NCT02484209', 'NCT00961909', 'NCT02879409', 'NCT01786707', 'NCT01217307', 'NCT01606007', 'NCT03309007', 'NCT01370707', 'NCT00332488', 'NCT01076088', 'NCT00375388', 'NCT01961388', 'NCT02007278', 'NCT04288778', 'NCT03361878', 'NCT00490178', 'NCT01766778', 'NCT01386671', 'NCT01958671', 'NCT02024971', 'NCT04341571', 'NCT00722371', 'NCT04237493', 'NCT01681693', 'NCT01292993', 'NCT00399711', 'NCT01144728', 'NCT02205528', 'NCT00684528', 'NCT03770728', 'NCT01035528', 'NCT01704261', 'NCT00318461', 'NCT02831361', 'NCT00543361', 'NCT00960661', 'NCT02151461', 'NCT01747083', 'NCT04530383', 'NCT05549583', 'NCT00232583', 'NCT03010683', 'NCT05226897', 'NCT01841697', 'NCT01211197', 'NCT01590797', 'NCT01709305', 'NCT02793505', 'NCT00935805', 'NCT02638805', 'NCT05990205', 'NCT01524705', 'NCT01089205', 'NCT03864705', 'NCT00859898', 'NCT04050098', 'NCT02235298', 'NCT02982798', 'NCT01511198', 'NCT01302145', 'NCT01399645', 'NCT04504045', 'NCT01206647', 'NCT02765347', 'NCT02058147', 'NCT01106677', 'NCT01817777', 'NCT02435277', 'NCT06107153', 'NCT00449553', 'NCT00770653', 'NCT02027753', 'NCT00251953', 'NCT02787551', 'NCT00763451', 'NCT00067951', 'NCT01305551', 'NCT00728351', 'NCT00613951', 'NCT03329651', 'NCT01528254', 'NCT02022254', 'NCT02648854', 'NCT00427154', 'NCT02011633', 'NCT00454233', 'NCT01135433', 'NCT02846233', 'NCT00865033', 'NCT00993187', 'NCT05917587', 'NCT01349387', 'NCT01394887', 'NCT02738879', 'NCT01169779', 'NCT00350779', 'NCT03297879', 'NCT01512979', 'NCT01089179', 'NCT00856284', 'NCT03444584', 'NCT04298684', 'NCT01117584', 'NCT00964184', 'NCT05628584', 'NCT00568984', 'NCT01334684', 'NCT03349684', 'NCT03445702', 'NCT00653302', 'NCT03029702', 'NCT04053621', 'NCT02973321', 'NCT02981121', 'NCT02682121', 'NCT02002221', 'NCT02338921', 'NCT02875821', 'NCT01555164', 'NCT02042664', 'NCT00669864', 'NCT01340664', 'NCT00191464', 'NCT00701090', 'NCT03819790', 'NCT03316690', 'NCT01808690', 'NCT01006590', 'NCT02791490', 'NCT04177303', 'NCT00754403', 'NCT01719003', 'NCT00838903', 'NCT01729403', 'NCT03670043', 'NCT01302743', 'NCT03429543', 'NCT02503943', 'NCT04667143', 'NCT01068743', 'NCT02068443', 'NCT01140438', 'NCT00474838', 'NCT00376038', 'NCT02409238', 'NCT03982238', 'NCT01471808', 'NCT04766008', 'NCT03514108', 'NCT02786823', 'NCT03529123', 'NCT03258723', 'NCT04407650', 'NCT01071850', 'NCT00541450', 'NCT02501850', 'NCT01613755', 'NCT01303055', 'NCT00614055', 'NCT01485614', 'NCT00751114', 'NCT05479214', 'NCT06229795', 'NCT04409795', 'NCT04390295', 'NCT02064881', 'NCT03982381', 'NCT00325910', 'NCT02249910', 'NCT00968812', 'NCT04885712', 'NCT00994812', 'NCT04854512', 'NCT01929512', 'NCT00359112', 'NCT01137812', 'NCT01763346', 'NCT00265746', 'NCT01970046', 'NCT01196546', 'NCT06445946', 'NCT01691846', 'NCT01895569', 'NCT00379769', 'NCT00592969', 'NCT02477969', 'NCT05366868', 'NCT01755468', 'NCT00035568', 'NCT04841668', 'NCT01340768', 'NCT00814372', 'NCT00915772', 'NCT02798172', 'NCT00528372', 'NCT00562172', 'NCT00940472', 'NCT01935804', 'NCT01557504', 'NCT00399204', 'NCT01596504', 'NCT03499704', 'NCT01101204', 'NCT01518101', 'NCT01509001', 'NCT00959101', 'NCT02920801', 'NCT00366301', 'NCT02941367', 'NCT04623567', 'NCT00744367', 'NCT00290940', 'NCT01728740', 'NCT02274740', 'NCT02014740', 'NCT00279240', 'NCT00106340', 'NCT02956044', 'NCT02434744', 'NCT01489644', 'NCT05415644', 'NCT02693392', 'NCT00004992', 'NCT01217892', 'NCT00698789', 'NCT02033889', 'NCT04271189', 'NCT02694289', 'NCT00754689', 'NCT01813929', 'NCT01890629', 'NCT03214380', 'NCT01425580', 'NCT01204580', 'NCT00961480', 'NCT00519480', 'NCT01758380', 'NCT03798080', 'NCT01126580', 'NCT03590262', 'NCT00046462', 'NCT00965991', 'NCT03841591', 'NCT01365091', 'NCT00875394', 'NCT00464594', 'NCT03320694', 'NCT00182494', 'NCT01204294', 'NCT06124560', 'NCT06145360', 'NCT03693560', 'NCT01483560', 'NCT01278160', 'NCT02980276', 'NCT01561976', 'NCT00830076', 'NCT00263276', 'NCT00445627', 'NCT03416127', 'NCT02354027', 'NCT00924573', 'NCT01217073', 'NCT00308373', 'NCT00820573', 'NCT05041673', 'NCT06124573', 'NCT00707031', 'NCT00111631', 'NCT03651531', 'NCT01131182', 'NCT00316082', 'NCT01075282', 'NCT01219582', 'NCT02947620', 'NCT00184574', 'NCT03513874', 'NCT05240274', 'NCT01834274', 'NCT00673465', 'NCT00362765', 'NCT00975065', 'NCT00263965', 'NCT01918865', 'NCT00855166', 'NCT01089166', 'NCT06257966', 'NCT00969566', 'NCT01486966', 'NCT01065766', 'NCT04670666', 'NCT01087866', 'NCT01245166', 'NCT00121966', 'NCT04326166', 'NCT00102466', 'NCT00099866', 'NCT02343926', 'NCT01505426', 'NCT00015626', 'NCT00184626', 'NCT03130426', 'NCT04392557', 'NCT00103857', 'NCT00396357', 'NCT05262257', 'NCT03751657', 'NCT00727857', 'NCT00762957', 'NCT04807348', 'NCT02710448', 'NCT06247748', 'NCT01814748', 'NCT04222348', 'NCT01822548', 'NCT01357148', 'NCT01444248', 'NCT00513630', 'NCT00525330', 'NCT00449930', 'NCT03066830', 'NCT01068730', 'NCT02411825', 'NCT03078725', 'NCT01106625', 'NCT00491725', 'NCT01334125', 'NCT01890122', 'NCT01336322', 'NCT00116922', 'NCT01046422', 'NCT00778622', 'NCT03686722', 'NCT00468039', 'NCT01192139', 'NCT06457139', 'NCT00570739', 'NCT00679939', 'NCT02004886', 'NCT00469586', 'NCT00975286', 'NCT00856986', 'NCT03230786', 'NCT01434186', 'NCT04523363', 'NCT00481663', 'NCT01855763', 'NCT05942963', 'NCT02813863', 'NCT05400863', 'NCT01929863', 'NCT02492763', 'NCT02113163', 'NCT03593135', 'NCT00770835', 'NCT00532935', 'NCT00683735', 'NCT03377335', 'NCT05833958', 'NCT01490658', 'NCT03608358', 'NCT04841096', 'NCT02072096', 'NCT01269996', 'NCT01565096', 'NCT01787396', 'NCT01624116', 'NCT01329016', 'NCT01122316', 'NCT02501616', 'NCT00358124', 'NCT03419624', 'NCT02088034', 'NCT01341717', 'NCT00700817', 'NCT02548741', 'NCT01910441', 'NCT00121641', 'NCT00571519', 'NCT01969318', 'NCT01099618', 'NCT01490918', 'NCT00544518', 'NCT02803918', 'NCT01717313', 'NCT01604213', 'NCT02497313', 'NCT01775813', 'NCT03118713', 'NCT02752113', 'NCT05167513', 'NCT00313313', 'NCT00069836', 'NCT02091336', 'NCT02597049', 'NCT01573949', 'NCT05629806', 'NCT00951899', 'NCT00035542', 'NCT05759442', 'NCT03503942', 'NCT03921242', 'NCT00286442', 'NCT03684642', 'NCT00899470', 'NCT00857870', 'NCT05182970', 'NCT03088670', 'NCT03106870', 'NCT05098470', 'NCT04665570', 'NCT00934570', 'NCT01076075', 'NCT03039075', 'NCT01364675', 'NCT03796975', 'NCT01768559', 'NCT03765359', 'NCT02960659', 'NCT00883259', 'NCT01619059', 'NCT05469659', 'NCT00767000', 'NCT01381900', 'NCT05545800', 'NCT00097500', 'NCT00975052', 'NCT01465152', 'NCT00885352', 'NCT01068652', 'NCT00261352', 'NCT01090752', 'NCT05688332', 'NCT03851432', 'NCT02719132', 'NCT02749032', 'NCT03570632', 'NCT01464437', 'NCT01593137', 'NCT04419337', 'NCT02802215', 'NCT00327015', 'NCT02609815', 'NCT02036515', 'NCT00086515', 'NCT02129985', 'NCT06140485', 'NCT00318656', 'NCT02719756', 'NCT01917656', 'NCT01383356', 'NCT00690456', 'NCT06084156', 'NCT01541956', 'NCT05414409', 'NCT01318109', 'NCT01459809', 'NCT01280409', 'NCT00425009', 'NCT03194009', 'NCT00374907', 'NCT01002807', 'NCT06204107', 'NCT00660907', 'NCT00499707', 'NCT02179788', 'NCT00575588', 'NCT00631488', 'NCT00860288', 'NCT01545388', 'NCT03816488', 'NCT00754988', 'NCT01966978', 'NCT03690778', 'NCT00885378', 'NCT00373178', 'NCT00383578', 'NCT00708578', 'NCT02152371', 'NCT03332771', 'NCT05102071', 'NCT01332071', 'NCT01593371', 'NCT01590771', 'NCT00598793', 'NCT04916093', 'NCT01718093', 'NCT01717911', 'NCT01051011', 'NCT01457911', 'NCT00420511', 'NCT01034111', 'NCT01881828', 'NCT02500628', 'NCT00081328', 'NCT00798161', 'NCT00941161', 'NCT00835861', 'NCT02202161', 'NCT02186483', 'NCT02438397', 'NCT01546597', 'NCT00619697', 'NCT01756105', 'NCT01960205', 'NCT01956305', 'NCT00449605', 'NCT03268005', 'NCT04018105', 'NCT00241605', 'NCT01702298', 'NCT02969798', 'NCT04170998', 'NCT02623998', 'NCT00360698', 'NCT00282945', 'NCT00279045', 'NCT01589445', 'NCT00627445', 'NCT00414245', 'NCT00770445', 'NCT02275845', 'NCT00680745', 'NCT03639545', 'NCT06124547', 'NCT05451147', 'NCT01760447', 'NCT05360147', 'NCT04581447', 'NCT02686177', 'NCT01535677', 'NCT02366377', 'NCT02882477', 'NCT01294553', 'NCT02844153', 'NCT00266253', 'NCT01477853', 'NCT01095653', 'NCT01780051', 'NCT00333151', 'NCT00643851', 'NCT00110851', 'NCT00331851', 'NCT00396851', 'NCT05932251', 'NCT04742751', 'NCT04615351', 'NCT04088851', 'NCT03179254', 'NCT02460354', 'NCT03798054', 'NCT03848533', 'NCT06449833', 'NCT00745433', 'NCT00295633', 'NCT00032487', 'NCT06059287', 'NCT03155087', 'NCT01064687', 'NCT00486187', 'NCT00755287']"
ROSIGLITAZONE,DIABETES,274,460,37.33,62.67,99.27,100,"['NCT00551564', 'NCT00577590', 'NCT00123643', 'NCT00333723', 'NCT00367055', 'NCT00995995', 'NCT01577095', 'NCT00348712', 'NCT00306644', 'NCT00489229', 'NCT00343980', 'NCT00232362', 'NCT00424762', 'NCT01088594', 'NCT00306176', 'NCT00349427', 'NCT00123227', 'NCT01574820', 'NCT00636766', 'NCT00135330', 'NCT00329225', 'NCT00372086', 'NCT00413335', 'NCT00306696', 'NCT00484419', 'NCT00523913', 'NCT01453049', 'NCT00571506', 'NCT00879970', 'NCT01332370', 'NCT00522470', 'NCT00541775', 'NCT01195259', 'NCT00169832', 'NCT02526615', 'NCT00501488', 'NCT00399711', 'NCT00953498', 'NCT00607945', 'NCT00067951', 'NCT00427154', 'NCT00331487', 'NCT00432679', 'NCT00350779', 'NCT00166803', 'NCT00738023', 'NCT00500955', 'NCT00615212', 'NCT00256646', 'NCT00379769', 'NCT00481429', 'NCT00831129', 'NCT00290394', 'NCT00044460', 'NCT00501020', 'NCT00549874', 'NCT00121966', 'NCT00015626', 'NCT00225225', 'NCT00318422', 'NCT00116922', 'NCT00679939', 'NCT00297063', 'NCT00194896', 'NCT00358124', 'NCT00069836', 'NCT00225342', 'NCT00440375', 'NCT00324675', 'NCT00203632', 'NCT00318656', 'NCT00499707', 'NCT00373178', 'NCT01332071', 'NCT00300911', 'NCT00081328', 'NCT00241605', 'NCT00282945', 'NCT00279045', 'NCT00680745', 'NCT01294553', 'NCT00333151', 'NCT00110851', 'NCT00295633', 'NCT00032487', 'NCT00486187', 'NCT00231387']"
NOVOLIN GE NPH PENFILL INJ SUS 100U/ML,DIABETES,38,7,84.44,15.56,97.37,100,[]
APO METFORMIN   TAB 500MG,DIABETES,64,78,45.07,54.93,60.94,60.26,[]
CO METFORMIN,DIABETES,17,11,60.71,39.29,82.35,54.55,[]
NOVOMIX 30       PENFILL CARTRIDGE,DIABETES,19,17,52.78,47.22,47.37,58.82,[]
METFORMIN / ROSIGLITAZONE,DIABETES,21,62,25.3,74.7,100,90.32,[]
HUMALOG CARTRIDGE,DIABETES,39,28,58.21,41.79,33.33,39.29,[]
SITAGLIPTIN,DIABETES,2061,999,67.35,32.65,88.89,80.68,"['NCT01488279', 'NCT00901979', 'NCT00482079', 'NCT01035879', 'NCT01155284', 'NCT00775684', 'NCT00545584', 'NCT00086502', 'NCT01824264', 'NCT02444364', 'NCT01169090', 'NCT00749190', 'NCT01422590', 'NCT01106690', 'NCT01354990', 'NCT00425490', 'NCT01189890', 'NCT01089790', 'NCT02577003', 'NCT00851903', 'NCT01794143', 'NCT01785043', 'NCT00888238', 'NCT00676338', 'NCT00885638', 'NCT01336738', 'NCT01642108', 'NCT00511108', 'NCT01376323', 'NCT00944450', 'NCT02532855', 'NCT03061214', 'NCT06124495', 'NCT00770081', 'NCT04495881', 'NCT02099110', 'NCT02324010', 'NCT01046110', 'NCT00337610', 'NCT02015910', 'NCT03115112', 'NCT01296412', 'NCT01260246', 'NCT00958269', 'NCT05266404', 'NCT00929201', 'NCT01337440', 'NCT05195944', 'NCT00627744', 'NCT01847144', 'NCT02628392', 'NCT00716092', 'NCT01652729', 'NCT00541229', 'NCT00482729', 'NCT02849080', 'NCT01186562', 'NCT00789191', 'NCT01028391', 'NCT02250794', 'NCT00870194', 'NCT03125694', 'NCT00673894', 'NCT01093794', 'NCT02405260', 'NCT03267576', 'NCT00833027', 'NCT02917031', 'NCT01845831', 'NCT00397631', 'NCT00696982', 'NCT01414920', 'NCT01678820', 'NCT02647320', 'NCT00734474', 'NCT01519674', 'NCT05822674', 'NCT03208465', 'NCT01462266', 'NCT03893526', 'NCT00961857', 'NCT02173457', 'NCT00501657', 'NCT01969357', 'NCT02536248', 'NCT01038648', 'NCT01062048', 'NCT00881530', 'NCT03101930', 'NCT01100125', 'NCT01059825', 'NCT02443922', 'NCT00699322', 'NCT01951339', 'NCT01660386', 'NCT02312063', 'NCT01092663', 'NCT01357135', 'NCT00666458', 'NCT00978796', 'NCT01193296', 'NCT02111096', 'NCT00087516', 'NCT01545024', 'NCT00686634', 'NCT01378117', 'NCT00766441', 'NCT00363519', 'NCT00484419', 'NCT01235819', 'NCT05579119', 'NCT00466518', 'NCT02920918', 'NCT01054118', 'NCT01999218', 'NCT01177813', 'NCT00509236', 'NCT01744236', 'NCT02330406', 'NCT02301806', 'NCT01984606', 'NCT06246799', 'NCT04801199', 'NCT03115099', 'NCT01928199', 'NCT01332370', 'NCT05549570', 'NCT00094770', 'NCT00541775', 'NCT05347459', 'NCT00971659', 'NCT00721552', 'NCT02639637', 'NCT00976937', 'NCT00780715', 'NCT06187285', 'NCT00095056', 'NCT02879409', 'NCT05219409', 'NCT00371007', 'NCT01076088', 'NCT01930188', 'NCT01530178', 'NCT00722371', 'NCT02318693', 'NCT01859793', 'NCT00659711', 'NCT00813228', 'NCT01475461', 'NCT03659461', 'NCT00976261', 'NCT05549583', 'NCT01841697', 'NCT01590797', 'NCT01512797', 'NCT00790205', 'NCT01709305', 'NCT04982705', 'NCT04295005', 'NCT01937598', 'NCT00967798', 'NCT01449747', 'NCT02127047', 'NCT01159847', 'NCT01863147', 'NCT01106677', 'NCT00364377', 'NCT01096277', 'NCT00993187', 'NCT02130687', 'NCT01588587', 'NCT02738879', 'NCT00350779', 'NCT04298684', 'NCT01177384', 'NCT01703221', 'NCT00732121', 'NCT01128621', 'NCT03108521', 'NCT01751321', 'NCT02338921', 'NCT03646721', 'NCT00701090', 'NCT01195090', 'NCT01289990', 'NCT00551590', 'NCT00832390', 'NCT02791490', 'NCT01602003', 'NCT01741103', 'NCT00838903', 'NCT02226003', 'NCT00395343', 'NCT02386943', 'NCT01140438', 'NCT02089438', 'NCT03602638', 'NCT01471808', 'NCT01582308', 'NCT02512523', 'NCT00541450', 'NCT01485614', 'NCT00751114', 'NCT00813995', 'NCT04409795', 'NCT00477581', 'NCT02607410', 'NCT03076112', 'NCT01137812', 'NCT02077946', 'NCT01119846', 'NCT01895569', 'NCT00758069', 'NCT01340768', 'NCT01374568', 'NCT01933672', 'NCT00106704', 'NCT01557504', 'NCT00305604', 'NCT01183104', 'NCT02048904', 'NCT03959501', 'NCT04149067', 'NCT02328040', 'NCT00363844', 'NCT02956044', 'NCT02802644', 'NCT00760344', 'NCT00127192', 'NCT01398592', 'NCT04323189', 'NCT04271189', 'NCT02256189', 'NCT01334229', 'NCT01890629', 'NCT00961480', 'NCT01970462', 'NCT02689362', 'NCT00509262', 'NCT03936062', 'NCT01095991', 'NCT02254291', 'NCT02200991', 'NCT00875394', 'NCT06124560', 'NCT00372060', 'NCT00957060', 'NCT00830076', 'NCT04061473', 'NCT00637273', 'NCT00820573', 'NCT06124573', 'NCT01131182', 'NCT02008682', 'NCT06329882', 'NCT05667220', 'NCT01834274', 'NCT02607865', 'NCT02480465', 'NCT02373865', 'NCT00855166', 'NCT00969566', 'NCT01065766', 'NCT00729326', 'NCT01073826', 'NCT00094757', 'NCT02655757', 'NCT00289848', 'NCT01357148', 'NCT00363948', 'NCT04161430', 'NCT00449930', 'NCT01936025', 'NCT01336322', 'NCT01098539', 'NCT00939939', 'NCT01342939', 'NCT05386186', 'NCT00998686', 'NCT05367063', 'NCT00936663', 'NCT00481663', 'NCT03593135', 'NCT00532935', 'NCT00683735', 'NCT05833958', 'NCT02072096', 'NCT01624116', 'NCT02577016', 'NCT00832624', 'NCT01081834', 'NCT04365517', 'NCT02900417', 'NCT01341717', 'NCT00700817', 'NCT01529541', 'NCT01099618', 'NCT00451113', 'NCT05167513', 'NCT05035849', 'NCT00968006', 'NCT01413542', 'NCT01455870', 'NCT01338870', 'NCT01076075', 'NCT00660075', 'NCT00730275', 'NCT00837759', 'NCT00975052', 'NCT00885352', 'NCT01619332', 'NCT04017832', 'NCT00704132', 'NCT01686932', 'NCT02749032', 'NCT01703637', 'NCT02036515', 'NCT00086515', 'NCT00842556', 'NCT02653209', 'NCT01455909', 'NCT06204107', 'NCT00871507', 'NCT03717688', 'NCT00631488', 'NCT01408888', 'NCT00860288', 'NCT01545388', 'NCT00754988', 'NCT00642278', 'NCT01590771', 'NCT02284893', 'NCT04916093', 'NCT01718093', 'NCT02949193', 'NCT01717911', 'NCT02564211', 'NCT00420511', 'NCT01034111', 'NCT00616811', 'NCT04304261', 'NCT01901861', 'NCT02202161', 'NCT01272583', 'NCT00747383', 'NCT01991197', 'NCT05042505', 'NCT01702298', 'NCT05099198', 'NCT00642798', 'NCT02623998', 'NCT06124547', 'NCT01760447', 'NCT00837577', 'NCT02882477', 'NCT02263677', 'NCT02192853', 'NCT00960453', 'NCT01477853', 'NCT01093651', 'NCT00768651', 'NCT00411554', 'NCT02043054', 'NCT01907854', 'NCT04287387']"
INSULIN LISPRO,DIABETES,2010,1330,60.18,39.82,77.91,62.03,"['NCT01481779', 'NCT01454284', 'NCT02152384', 'NCT04124302', 'NCT04019821', 'NCT02962921', 'NCT01848990', 'NCT06280703', 'NCT03890003', 'NCT03952143', 'NCT00548808', 'NCT03338023', 'NCT02221323', 'NCT04537923', 'NCT00420095', 'NCT03830281', 'NCT03849612', 'NCT00985712', 'NCT00036504', 'NCT03760640', 'NCT00487240', 'NCT03938740', 'NCT03682640', 'NCT02344992', 'NCT02250794', 'NCT01773473', 'NCT00993473', 'NCT00461331', 'NCT00348374', 'NCT02623465', 'NCT02562326', 'NCT00071448', 'NCT03952130', 'NCT00231725', 'NCT00700622', 'NCT03305822', 'NCT04235439', 'NCT01235039', 'NCT00883558', 'NCT02528396', 'NCT03262116', 'NCT03903016', 'NCT02029924', 'NCT03509324', 'NCT03407118', 'NCT02562313', 'NCT00494013', 'NCT01811849', 'NCT02685449', 'NCT01303042', 'NCT02276859', 'NCT06370715', 'NCT00428207', 'NCT04501107', 'NCT00553488', 'NCT01776788', 'NCT03465878', 'NCT00191178', 'NCT01201278', 'NCT01621178', 'NCT03248271', 'NCT00097071', 'NCT02971228', 'NCT00960661', 'NCT05893797', 'NCT01194245', 'NCT03660553', 'NCT01334151', 'NCT02146651', 'NCT01468987', 'NCT04484779', 'NCT01792284', 'NCT00356421', 'NCT01662921', 'NCT00191464', 'NCT04816890', 'NCT03367390', 'NCT01474538', 'NCT01792323', 'NCT02703350', 'NCT03229850', 'NCT01215955', 'NCT01531855', 'NCT02794155', 'NCT02603510', 'NCT02526810', 'NCT03341312', 'NCT05834868', 'NCT01191268', 'NCT01035801', 'NCT03848767', 'NCT03214367', 'NCT04023344', 'NCT03096392', 'NCT03214380', 'NCT04254380', 'NCT05257460', 'NCT00849576', 'NCT04161976', 'NCT02229227', 'NCT01147627', 'NCT04100473', 'NCT00191282', 'NCT02197520', 'NCT06251635', 'NCT00377858', 'NCT01194258', 'NCT02273258', 'NCT01109316', 'NCT03166124', 'NCT05689424', 'NCT01175824', 'NCT02703324', 'NCT00664534', 'NCT00560417', 'NCT02713841', 'NCT03740919', 'NCT00666718', 'NCT00467649', 'NCT00862849', 'NCT02739906', 'NCT03341299', 'NCT01398670', 'NCT00115570', 'NCT04972175', 'NCT00510952', 'NCT02623452', 'NCT03179332', 'NCT02470637', 'NCT02703337', 'NCT03743285', 'NCT05462756', 'NCT00551356', 'NCT03056456', 'NCT01134107', 'NCT04276207', 'NCT03368807', 'NCT01613807', 'NCT02623478', 'NCT01175811', 'NCT05508061', 'NCT03156361', 'NCT00393705', 'NCT01421147', 'NCT03433677', 'NCT03286751', 'NCT01336751', 'NCT01526733', 'NCT03449433', 'NCT00607087']"
